index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,team_in_possession_id,attacking_side,team_in_possession_shortname,n_player_possessions_in_phase,team_possession_loss_in_phase,team_possession_lead_to_goal,team_possession_lead_to_shot,team_in_possession_phase_type,team_in_possession_phase_type_id,team_out_of_possession_phase_type,team_out_of_possession_phase_type_id,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,team_in_possession_width_start,team_in_possession_width_end,team_in_possession_length_start,team_in_possession_length_end,team_out_of_possession_width_start,team_out_of_possession_width_end,team_out_of_possession_length_start,team_out_of_possession_length_end,avg_width,avg_length
56,1874553,5300,5442,08:49.0,09:03.2,8,49,14.2,1,1,1802,left_to_right,Brisbane FC,7,False,False,False,create,1,medium_block,9,-7.15,-1.73,3,center,2,middle_third,False,23.35,-31.8,5,wide_right,3,attacking_third,False,34.93,50.68,43.27,56.7,58.74,34.84,55.04,45.55,42.805,49.985
57,1874553,5442,5572,09:03.2,09:16.2,9,3,13.0,1,1,1802,left_to_right,Brisbane FC,3,False,False,False,finish,2,low_block,8,24.0,-31.79,5,wide_right,3,attacking_third,False,5.96,-24.92,5,wide_right,2,middle_third,False,50.54,48.63,56.95,58.25,34.78,36.97,45.55,36.96,49.585,57.6
58,1874553,5572,5702,09:16.2,09:29.2,9,16,13.0,1,1,1802,left_to_right,Brisbane FC,5,False,False,False,create,1,medium_block,9,5.53,-24.34,5,wide_right,2,middle_third,False,18.12,8.67,3,center,3,attacking_third,False,48.75,51.75,58.19,58.94,36.93,31.79,37.26,44.41,50.25,58.565
59,1874553,5702,5746,09:29.2,09:33.6,9,29,4.4,1,1,1802,left_to_right,Brisbane FC,1,True,False,False,finish,2,low_block,8,18.97,10.32,2,half_space_left,3,attacking_third,False,43.7,1.18,3,center,3,attacking_third,True,51.52,39.43,59.19,72.43,31.98,37.7,44.48,45.32,45.475,65.81
60,1874553,5746,5793,09:33.6,09:38.3,9,33,4.7,1,2,866,right_to_left,Adelaide United,2,True,False,False,chaotic,5,chaotic,5,-44.1,-0.46,3,center,1,defensive_third,False,-18.96,-12.12,4,half_space_right,1,defensive_third,False,37.51,38.62,45.34,43.84,39.19,32.59,72.49,78.01,38.065,44.59
61,1874553,5793,5832,09:38.3,09:42.2,9,38,3.9,1,1,1802,left_to_right,Brisbane FC,1,False,False,False,finish,2,low_block,8,18.03,12.17,2,half_space_left,3,attacking_third,False,5.84,7.32,3,center,2,middle_third,False,32.54,42.77,77.81,65.52,38.61,31.36,43.54,37.63,37.655,71.66499999999999
62,1874553,5832,6071,09:42.2,10:06.1,9,42,23.9,1,1,1802,left_to_right,Brisbane FC,8,False,False,False,create,1,medium_block,9,5.25,5.61,3,center,2,middle_third,False,28.75,19.98,2,half_space_left,3,attacking_third,False,43.13,52.56,65.2,60.78,31.36,36.45,37.65,44.34,47.845,62.99
63,1874553,6227,6252,10:21.7,10:24.2,10,21,2.5,1,1,1802,left_to_right,Brisbane FC,2,True,False,False,chaotic,5,chaotic,5,38.2,31.99,1,wide_left,3,attacking_third,False,50.59,16.52,2,half_space_left,3,attacking_third,True,38.61,35.16,68.59,72.55,29.32,23.61,32.39,33.45,36.885,70.57
64,1874553,6436,6467,10:42.6,10:45.7,10,42,3.1,1,2,866,right_to_left,Adelaide United,2,False,False,False,build_up,0,high_block,10,,,2,half_space_left,2,middle_third,False,-45.33,-20.93,5,wide_right,1,defensive_third,False,,57.25,,50.33,,38.44,,72.53,57.25,50.33
65,1874553,6467,6500,10:45.7,10:49.0,10,45,3.3,1,2,866,right_to_left,Adelaide United,2,True,False,False,direct,6,defending_direct,15,-44.79,-21.11,5,wide_right,1,defensive_third,False,-13.22,-13.79,4,half_space_right,2,middle_third,False,57.07,50.37,50.32,49.87,38.32,32.04,72.39,65.04,53.72,50.095
66,1874553,6500,6510,10:49.0,10:50.0,10,49,1.0,1,1,1802,left_to_right,Brisbane FC,1,False,False,False,chaotic,5,chaotic,5,13.75,14.02,2,half_space_left,2,middle_third,False,21.03,14.86,2,half_space_left,3,attacking_third,False,31.78,29.61,64.75,62.52,50.4,51.1,49.78,48.82,30.695,63.635000000000005
67,1874553,6682,6882,11:07.2,11:27.2,11,7,20.0,1,1,1802,left_to_right,Brisbane FC,8,True,False,False,set_play,7,defending_set_play,13,17.37,16.83,2,half_space_left,2,middle_third,False,-35.87,10.83,2,half_space_left,1,defensive_third,False,35.14,39.68,58.94,43.21,26.84,37.93,27.54,75.15,37.41,51.075
68,1874553,6882,6903,11:27.2,11:29.3,11,27,2.1,1,2,866,right_to_left,Adelaide United,1,False,False,False,build_up,0,high_block,10,-35.36,11.3,2,half_space_left,1,defensive_third,False,-20.0,21.46,1,wide_left,1,defensive_third,False,40.17,47.54,43.24,41.64,38.07,39.76,74.94,69.51,43.855000000000004,42.44
69,1874553,6903,7124,11:29.3,11:51.4,11,29,22.1,1,2,866,right_to_left,Adelaide United,7,True,False,False,create,1,medium_block,9,-19.28,21.52,1,wide_left,1,defensive_third,False,4.11,-6.63,3,center,2,middle_third,False,48.0,55.33,41.62,53.37,39.89,31.14,69.28,43.44,51.665,47.495
70,1874553,7124,7163,11:51.4,11:55.3,11,51,3.9,1,1,1802,left_to_right,Brisbane FC,2,True,False,False,chaotic,5,chaotic,5,-3.63,6.93,3,center,2,middle_third,False,17.62,14.44,2,half_space_left,3,attacking_third,False,31.01,31.19,43.93,54.88,55.1,46.6,53.45,52.85,31.1,49.405
